Designator,Mid X,Mid Y,Rotation,Layer
D1,77.0963,-78.8013,62.0,top
D10,119.5192,-118.4677,62.0,top
D11,60.9095,-111.5507,62.0,top
D12,78.6704,-117.5289,62.0,top
D13,95.7414,-123.7672,62.0,top
D14,110.512,-134.3079,62.0,top
D15,131.1551,-135.9342,62.0,top
D16,160.0979,-91.1337,100.0,top
D17,176.6014,-78.0678,100.0,top
D18,194.843,-72.3018,100.0,top
D19,213.9726,-71.4698,100.0,top
D2,94.8514,-84.8078,62.0,top
D20,232.7865,-71.2158,100.0,top
D21,180.2187,-95.9824,100.0,top
D22,197.9983,-90.3404,100.0,top
D23,216.678,-89.5684,100.0,top
D24,235.368,-89.3165,100.0,top
D25,253.7773,-87.0545,100.0,top
D26,163.7345,-109.0044,100.0,top
D27,183.9041,-113.8624,100.0,top
D28,201.1638,-108.2305,100.0,top
D29,219.2734,-107.5785,100.0,top
D3,112.8232,-91.4478,62.0,top
D30,238.0431,-107.3365,100.0,top
D4,128.4268,-102.5646,62.0,top
D5,140.1433,-120.0236,62.0,top
D6,59.0184,-98.1137,152.0,top
D7,69.0664,-95.183,62.0,top
D8,86.792,-101.1879,62.0,top
D9,104.3283,-107.6295,62.0,top
J1,210.4682,-109.6649,10.0,top
J2,101.9907,-130.4053,333.0,top
S1,85.9264,-80.7578,28.0,bottom
S10,128.3014,-120.4078,28.0,bottom
S11,69.7396,-113.5072,28.0,bottom
S12,87.4996,-119.4872,28.0,bottom
S13,104.5696,-125.7272,28.0,bottom
S14,119.3392,-136.2697,28.0,bottom
S15,139.9814,-137.8978,28.0,bottom
S16,168.2114,-87.2478,350.0,bottom
S17,184.7152,-74.1838,350.0,bottom
S18,202.9572,-68.4198,350.0,bottom
S19,222.0872,-67.5898,350.0,bottom
S2,103.6704,-86.753,28.0,bottom
S20,240.9014,-67.3378,350.0,bottom
S21,188.3814,-92.0878,350.0,bottom
S22,206.1614,-86.4478,350.0,bottom
S23,224.8414,-85.6778,350.0,bottom
S24,243.5318,-85.4278,350.0,bottom
S25,261.9414,-83.1678,350.0,bottom
S26,171.8972,-105.1098,350.0,bottom
S27,192.0672,-109.9698,350.0,bottom
S28,209.3272,-104.3398,350.0,bottom
S29,227.4372,-103.6898,350.0,bottom
S3,121.6514,-93.4078,28.0,bottom
S30,246.2072,-103.4498,350.0,bottom
S4,137.254,-104.5264,28.0,bottom
S5,148.9696,-121.9872,28.0,bottom
S6,60.9514,-89.3278,298.0,bottom
S7,77.8514,-97.1178,28.0,bottom
S8,95.576,-103.1244,28.0,bottom
S9,113.1114,-109.5678,28.0,bottom
